name,avg_rc,rating
Best Applock - Locker & No Ads,10672,4.7
DIY On A Budget,114,4.7
"Quik – Free Video Editor for photos, clips, music",696665,4.7
Candy Pop Story,12948,4.7
Bx Thailand Alert (Bitcoin),3,4.7
Exército Brasileiro,1730,4.7
Photo Designer - Write your name with shapes,3632,4.7
Automagic * Automation,1947,4.7
All States Ag Parts,68,4.7
Al Quran Free - القرآن (Islam),1777,4.7
Quadratic Equation Solver with Steps and Graphs,513,4.7
Running Distance Tracker +,77777,4.7
Calorie Counter - EasyFit free,50294,4.7
Blood Pressure Log - MyDiary,8347.5,4.7
Kids Paint Free - Drawing Fun,121,4.7
My Calendar - Period Tracker,156410,4.7
Rock N' Cash Casino Slots -Free Vegas Slot Games,6187,4.7
Riptide GP: Renegade,4328,4.7
"Length Converter: convert mm,cm,m, feet,yard,mile",76,4.7
ALL-IN-ONE PACKAGE TRACKING,167406,4.7
"Speed Booster - Ram, Battery & Game Speed Booster",85079,4.7
V Bucks ProTips New,594,4.7
AC Troubleshooter,147,4.7
Fuzzy Numbers: Pre-K Number Foundation,21,4.7
1800 Contacts - Lens Store,23160,4.7
"LALALAB prints your photos, photobooks and magnets",50424,4.7
"Emoji Keyboard - Cute Emoji,GIF, Sticker, Emoticon",114851,4.7
Cover Fire: offline shooting games for free,725897,4.7
BU Students' Rep. Council,38,4.7
ES File Explorer/Manager PRO,81614,4.7
White Sound Pro,16570,4.7
